gene;Arabidopsis_G18_wt22;Arabidopsis_G18_wt29;Arabidopsis_G17_mut22;Arabidopsis_Ruben_mut29
AT1G04425;6,316855007;4,334494551;6,816672781;3,523643487
AT1G04427;0;0;0;0
AT1G04430;30,07762434;32,1904789;40,81373451;34,75889144
AT1G04433;0;2,555663021;0;2,423839611
AT1G04437;0;0;0;0
AT1G04440;15,84595852;12,80501447;18,92861301;20,38942389
AT1G04443;0;0;0;0
AT1G04445;0;0;0;0
AT1G04447;0;0;0;0
AT1G04450;0;0;0;0
AT1G04453;0;0;0;0
AT1G04455;0;0;0;0
AT1G04463;0;0;0;0,28980691
AT1G04467;0;0;0;0,566077192
AT1G04470;0;0;0;0
AT1G04473;0;0;0;0
AT1G04477;0;0;0;0,696141925
AT1G04480;57,97177775;73,11255749;63,2076343;95,38504355
AT1G04483;0;0;0;1,179744943
AT1G04487;0;0;0;0
AT1G04490;0;0,256850555;0;0,365402956
AT1G04493;0;0;0;0
AT1G04497;0;0;0;0
AT1G04500;0;0;0,160675429;0
AT1G04503;0;0;0;0
AT1G04507;0;0;0;0
AT1G04510;16,55516197;14,99322306;20,82582572;17,16189886
AT1G04513;0,289682038;0,766698906;0;0,242383961
AT1G04517;0;10,16106984;0;0
AT1G04520;6,311921716;7,903775733;6,292008742;9,029383344
AT1G04523;0;0;0;0
AT1G04527;0;3,387023281;0;0
AT1G04530;24,12427766;16,47132388;22,78153339;19,65879132
AT1G04533;0;0;0;0
AT1G04537;0,779095945;1,374684266;0;0
AT1G04540;0;0;0;0
AT1G04547;0;0;0;0
AT1G04550;5,739377548;12,75990255;11,95909072;14,21473662
AT1G04555;2,259930791;1,42412833;2,850483045;1,620804603
AT1G04557;0;0;0;0
AT1G04560;0;0;0;0
AT1G04563;0;0;0;0
AT1G04567;0;0;0;0
AT1G04570;0,147454994;0,390267838;0,130190966;0,123379157
AT1G04573;0;0;0;0
AT1G04577;0;0;0;0
AT1G04580;0;0;0;0
AT1G04583;0,531970353;0;0;0
AT1G04587;0;0;0;0
AT1G04590;7,511041406;9,437698442;9,244116517;7,617781635
AT1G04593;0;0;0;0
AT1G04597;0;0;0;0
AT1G04600;0;0,343791147;0,344059877;0,186318908
AT1G04603;0;0;0;0
AT1G04607;0;0;0;0
AT1G04610;0,359853463;0,476210501;0,794304564;0,301098088
AT1G04620;2,603587992;4,593928989;4,980646567;3,509781371
AT1G04623;0;0;0;0
AT1G04625;0;0;0;0
AT1G04630;15,03067177;16,67036256;12,89171294;22,63774731
AT1G04635;2,640747858;5,047787459;1,554379429;2,209577546
AT1G04640;7,560242988;9,881298148;3,461157708;10,30877304
AT1G04643;0;0;0;0
AT1G04645;0;0;0;0
AT1G04647;0,575700527;0;1,016595037;0,240851271
AT1G04650;1,133650429;1,583556393;2,335486198;1,976151477
AT1G04653;0;0;0;0
AT1G04657;0;0;0;0
AT1G04660;0,680391975;0,800349985;0,600731694;0,759067209
AT1G04667;0;0,803208378;0;0
AT1G04670;0;0;0;0
AT1G04673;0;0;0;0
AT1G04677;0;0;0;0
AT1G04680;30,81723805;33,71300155;35,37190325;36,61544944
AT1G04683;0;0;0;0
AT1G04687;0;0;0;0
AT1G04690;20,85927391;27,69166041;25,60849799;34,90691709
AT1G04693;0;0;0;0
AT1G04697;0;0;0;0
AT1G04700;1,251756411;0,414126588;0,345375247;1,178296693
AT1G04703;0;0;0;0
AT1G04707;0,730012008;0;0,322271107;0,305409344
AT1G04710;5,381306852;8,13866149;9,502527074;9,809387087
AT1G04713;0;0;0;0
AT1G04717;0;0;0;0
AT1G04720;0;0;0;0
AT1G04723;0;0;0;0
