gene;mut_22_GH-mut_29_GH_adjPval;wt_22_GH-wt_29_GH_adjPval
AT5G44310;0,974609038;0,331320624
AT2G04715;0,999964783;0,331042906
AT1G08127;0,999964783;0,330386632
AT2G22942;0,999964783;0,329771615
AT2G36780;0,999964783;0,328638903
AT2G09665;0,999964783;0,328638903
AT2G42980;0,999964783;0,328300879
AT1G28930;0,999964783;0,328300879
AT2G18210;0,999964783;0,328037223
AT1G54445;0,999964783;0,327997774
AT4G16240;0,999964783;0,327698406
AT3G12470;0,999964783;0,327698406
ATMG00370;0,051133843;0,327698406
AT1G67920;0,999964783;0,327557388
AT1G53887;0,999964783;0,326775144
AT1G66300;0,999964783;0,326049079
AT5G06190;0,999964783;0,32561692
AT1G07150;0,999964783;0,32529602
AT4G07995;0,999964783;0,32529602
AT2G18969;0,999964783;0,32529602
AT1G07647;0,999964783;0,32529602
AT1G05113;0,999964783;0,32529602
AT1G07827;0,999964783;0,32529602
AT1G32510;0,999964783;0,32529602
AT4G27510;0,999964783;0,324145379
AT1G08703;0,999964783;0,324145379
AT1G19376;0,999964783;0,324145379
AT1G20940;0,999964783;0,324145379
AT1G23965;0,999964783;0,324145379
AT2G04905;0,999964783;0,324145379
AT3G08900;0,999964783;0,324145379
AT1G55230;0,999964783;0,323774228
AT1G07567;0,999964783;0,323774228
AT1G08037;0,999964783;0,323774228
AT1G63057;0,999964783;0,323774228
AT1G75940;0,999964783;0,323774228
AT5G55835;0,67272628;0,323774228
AT1G01130;0,999964783;0,323473216
AT1G19250;0,999964783;0,323473216
AT1G36510;0,999964783;0,323473216
AT2G41415;0,999964783;0,323473216
ATCG01280;0,999964783;0,323104547
AT1G08843;0,999964783;0,323104547
AT5G43935;0,983025385;0,323104547
AT5G46295;0,940361205;0,323104547
AT1G09500;0,999964783;0,32285033
AT3G13276;0,999964783;0,321284696
AT1G49460;0,999964783;0,321273151
AT1G59730;0,999964783;0,321263474
AT4G24265;0,999964783;0,320863163
AT1G09967;0,999964783;0,319838305
AT1G71280;0,999964783;0,319586148
AT2G29950;0,999964783;0,319363092
AT5G03790;0,999964783;0,318162751
AT1G05450;0,999964783;0,318162751
AT3G47710;0,999964783;0,318162751
AT1G04653;0,999964783;0,318162751
AT2G05965;0,999964783;0,317409748
AT5G46040;0,940361205;0,317373561
AT2G02690;0,999964783;0,316039261
AT2G06795;0,999964783;0,316019815
AT5G16080;0,999964783;0,316019815
AT4G39925;0,999964783;0,316019815
AT1G19200;0,999964783;0,315775991
AT1G06907;0,999964783;0,315775991
AT1G73290;0,999964783;0,315420531
AT2G22905;0,999964783;0,315420531
AT1G05327;0,999964783;0,31535709
AT5G59810;0,581888598;0,315166501
AT4G27250;0,999964783;0,314964725
AT3G05720;0,999964783;0,314964725
AT1G04057;0,999964783;0,314964725
AT1G20680;0,999964783;0,314964725
AT1G61390;0,999964783;0,314412741
AT2G25130;0,999964783;0,314048876
AT4G08805;0,999964783;0,314048876
AT1G07887;0,999964783;0,313735754
AT1G04077;0,999964783;0,313325318
AT5G49138;0,999964783;0,313241412
AT5G06305;0,999964783;0,313038003
AT4G18330;0,999964783;0,312203441
AT1G74150;0,999964783;0,311722678
AT5G18470;0,999964783;0,311722678
AT5G08445;0,999964783;0,311722678
AT1G26970;0,999964783;0,311375905
AT1G06353;0,999964783;0,311375905
AT1G31450;0,999964783;0,311375905
AT1G66855;0,999964783;0,311375905
AT5G53810;0,726703138;0,311375905
AT4G08450;0,999964783;0,310265309
AT1G66390;0,999964783;0,310265309
AT2G20510;0,999964783;0,310265309
AT1G07407;0,999964783;0,309972096
AT3G05260;0,999964783;0,309972096
